Outcome Date,Animal ID,Name,Outcome Status,Euthanasia Reason,Type,Sex,Spayed/Neutered,Primary Breed,Primary Color,Secondary Color,Date of Birth,Intake Date,Days in Shelter
01/27/2026 04:34:10 PM,20733,,Adopted,,Kitten,Female,yes,Domestic Shorthair,Calico,,11/23/2025 12:00:00 AM,01/23/2026 01:30:00 PM,4
01/27/2026 05:17:19 PM,20735,,Adopted,,Kitten,Female,Yes,Domestic Shorthair,Calico,,11/23/2025 12:00:00 AM,01/23/2026 01:30:00 PM,4
01/27/2026 05:55:31 PM,19279,Huey,Adopted,,Kitten,Female,Yes,Domestic Shorthair,Brown Tabby,White,11/11/2025 12:00:00 AM,12/11/2025 11:41:00 AM,47
02/10/2026 10:03:00 AM,18076,Tyson,Adopted,,Dog,Male,Yes,American Bulldog,Black,White,11/13/2017 12:00:00 AM,11/13/2025 02:01:00 PM,88
06/07/2025 06:12:00 PM,9225,Boxer,Transfer Out,,Dog,Male,Unknown,Coonhound,Rust,White,11/07/2024 12:00:00 AM,06/07/2025 04:32:00 PM,0
01/27/2026 05:11:29 PM,18625,Holly,Adopted,,Dog,Female,Yes,Border Collie,Black Brindle,White,11/25/2023 12:00:00 AM,11/25/2025 05:27:00 PM,62
01/27/2026 05:51:00 PM,20839,,Transfer Out,,Cat,Female,No,Domestic Shorthair,Grey Tabby,,01/27/2025 12:00:00 AM,01/27/2026 03:44:00 PM,0
01/27/2026 05:11:03 PM,20661,Kitten 1,Adopted,,Kitten,Female,yes,Domestic Shorthair,Brown Tabby,,11/12/2025 12:00:00 AM,01/21/2026 02:20:00 PM,6
01/06/2026 05:23:53 PM,17759,Bear,Adopted,,Cat,Male,yes,Domestic Shorthair,Flame Point,White,08/30/2025 12:00:00 AM,11/05/2025 11:06:00 AM,62
02/07/2026 11:07:00 AM,20496,Vanilla Bean (Nilla),Adopted,,Dog,Female,Yes,Great Pyrenees,White,,03/22/2025 12:00:00 AM,01/22/2026 01:25:00 PM,15
02/10/2026 11:46:00 AM,21150,Miles,Transfer Out,,Cat,Male,Yes,Domestic Shorthair,Black,,02/04/2024 12:00:00 AM,02/04/2026 03:02:00 PM,5
02/10/2026 11:46:00 AM,21232,,Transfer Out,,Cat,Female,No,Domestic Shorthair,Black,Black,08/06/2025 12:00:00 AM,02/06/2026 01:03:00 PM,3
12/31/2025 04:02:03 PM,17472,Tito,Adopted Altered,,Cat,Male,yes,Domestic Medium Hair,Black,,08/30/2025 12:00:00 AM,10/29/2025 12:53:00 PM,63
02/10/2026 11:46:00 AM,21170,Bunny,Transfer Out,,Cat,Male,No,Domestic Shorthair,Black,,02/05/2024 12:00:00 AM,02/05/2026 11:11:00 AM,5
02/10/2026 11:39:00 AM,21312,Harper,Reclaimed,,Dog,Female,Yes,Australian Cattle Dog,Black,White,02/09/2015 12:00:00 AM,02/09/2026 10:25:00 AM,1
07/12/2025 01:20:00 PM,11243,,Reclaimed,,Cat,Male,No,Domestic Shorthair,Orange Tabby,,02/10/2023 12:00:00 AM,06/30/2025 11:54:00 PM,11
02/10/2026 01:33:42 PM,21199,Mango,Adopted,,Puppy,Male,Yes,German Shepherd,Black,Brown,12/11/2025 12:00:00 AM,02/05/2026 03:40:00 PM,4
01/12/2026 06:07:00 PM,16500,Moose,Adopted,,Dog,Male,Yes,German Shepherd,Black,Brown,10/11/2024 12:00:00 AM,10/08/2025 12:34:00 PM,96
01/28/2026 12:30:00 PM,20688,Unknown,Transfer Out,,Dog,Male,No,American Pit Bull Terrier,Blue,,01/22/2024 12:00:00 AM,01/22/2026 11:35:00 AM,6
01/28/2026 01:12:00 PM,20813,,Unassisted Death,,Cat,Unknown,Unknown,Domestic Shorthair,Black,White,,01/26/2026 08:03:00 PM,1
11/24/2025 06:35:58 PM,17296,Chubby,Adopted,,Dog,Male,Yes,American Pit Bull Terrier,Tan,White,10/25/2019 12:00:00 AM,10/25/2025 01:36:00 PM,30
01/28/2026 03:57:00 PM,17961,Reggie,Adopted,,Dog,Male,Yes,Collie Smooth,Tan,White,11/10/2023 12:00:00 AM,11/10/2025 12:08:00 PM,79
01/28/2026 03:15:00 PM,16133,Zoey Catalaya Bleu,Transfer Out,,Dog,Female,Yes,Pug,Tan,,09/30/2023 12:00:00 AM,01/12/2026 06:49:00 PM,15
01/28/2026 04:23:00 PM,20509,Pepper Jack,Transfer Out,,Rodent,Male,Unknown,Mouse,White,Tan,,01/17/2026 01:55:00 PM,11
01/28/2026 04:33:00 PM,20587,,Return to Habitat,,Cat,Male,Yes,Domestic Shorthair,Brown Tabby,,01/20/2024 12:00:00 AM,01/20/2026 11:11:00 AM,8
01/28/2026 04:55:56 PM,20730,Loren,Adopted,,Kitten,Female,yes,Domestic Shorthair,Blue,Tabby,11/23/2025 12:00:00 AM,01/23/2026 12:58:00 PM,5
01/28/2026 04:36:47 PM,20610,,Adopted,,Cat,Female,yes,Siamese,Chocolate Calico,,01/20/2025 12:00:00 AM,01/20/2026 01:43:00 PM,8
01/28/2026 04:24:53 PM,20358,Earl Grey,Adopted,,Cat,Male,yes,Domestic Shorthair,Blue,,05/17/2025 12:00:00 AM,01/13/2026 12:08:00 PM,15
01/28/2026 04:55:29 PM,20731,Lulu,Adopted,,Kitten,Female,yes,Domestic Shorthair,Blue,Tabby,11/14/2025 12:00:00 AM,01/23/2026 01:00:00 PM,5
01/28/2026 04:33:00 PM,20588,,Return to Habitat,,Cat,Female,Yes,Domestic Shorthair,Orange Tabby,White,01/20/2024 12:00:00 AM,01/20/2026 11:11:00 AM,8
01/28/2026 04:17:06 PM,17756,Mimi,Adopted,,Cat,Female,Yes,Domestic Shorthair,Orange Tabby,White,08/27/2025 12:00:00 AM,11/05/2025 11:06:00 AM,84
01/28/2026 04:23:00 PM,20507,Gouda,Transfer Out,,Rodent,Male,Unknown,Mouse,White,Tan,,01/17/2026 01:55:00 PM,11
01/28/2026 04:23:00 PM,20511,Parmesan,Transfer Out,,Rodent,Male,Unknown,Mouse,White,Tan,,01/17/2026 01:55:00 PM,11
01/28/2026 05:10:02 PM,20669,,Adopted,,Kitten,Female,yes,Domestic Shorthair,Brown Tabby,White,09/22/2025 12:00:00 AM,01/21/2026 03:42:00 PM,7
01/28/2026 05:48:27 PM,20729,Lily,Adopted,,Kitten,Female,yes,Domestic Shorthair,Blue,Tabby,11/23/2025 12:00:00 AM,01/23/2026 12:56:00 PM,5
01/28/2026 05:10:39 PM,20670,,Adopted,,Kitten,Female,yes,Domestic Shorthair,Brown Tabby,White,09/22/2025 12:00:00 AM,01/21/2026 03:42:00 PM,7
07/06/2025 03:40:00 PM,10793,,Transfer Out,,Cat,Male,yes,Domestic Shorthair,Brown Tabby,,05/28/2025 12:00:00 AM,06/25/2025 12:14:00 PM,11
09/23/2025 10:17:00 AM,14970,Rolo,Transfer Out,,Cat,Male,No,Domestic Shorthair,Brown Tabby,White,06/05/2025 12:00:00 AM,09/05/2025 11:32:00 AM,17
08/07/2025 04:56:00 PM,10609,,Adopted,,Cat,Female,Yes,Domestic Shorthair,Orange Tabby,White,05/19/2025 12:00:00 AM,06/23/2025 03:54:00 PM,45
06/30/2025 11:17:00 AM,8588,Smidge,Adopted Altered,,Cat,Female,Yes,Domestic Shorthair,Brown Tabby,,05/30/2021 12:00:00 AM,05/30/2025 02:45:00 PM,30
08/28/2025 05:59:04 PM,13047,Rascal,Adopted,,Cat,Male,Yes,Domestic Shorthair,Black,,07/31/2024 12:00:00 AM,07/31/2025 01:12:00 PM,28
01/26/2026 09:45:00 PM,17740,,Redemption (Offsite),,Puppy,Male,Yes,Belgian Shepherd Dog,Brown,White,10/22/2025 12:00:00 AM,01/26/2026 02:39:00 AM,0
06/11/2025 02:31:24 PM,6490,,Adopted Altered,,Cat,Male,Yes,Domestic Shorthair,Brown Tabby,,03/25/2025 12:00:00 AM,04/08/2025 12:00:00 AM,64
10/19/2025 11:23:00 AM,16862,Tom Cruise,Transfer Out,,Dog,Male,No,Dachshund - Smooth,White,Black,10/16/2019 12:00:00 AM,10/15/2025 03:01:00 PM,3
08/11/2025 04:52:49 PM,13536,Ollie,Adopted,,Cat,Male,Yes,Domestic Shorthair,Grey Tabby,White,01/01/2017 12:00:00 AM,08/08/2025 03:44:00 PM,3
08/23/2025 08:08:00 AM,14081,,Transfer Out,,Cat,Female,No,Domestic Shorthair,Calico,,08/06/2025 12:00:00 AM,08/20/2025 03:07:00 PM,2
08/09/2025 06:52:16 PM,10712,Max,Adopted,,Dog,Male,Yes,Siberian Husky,Black,Tan,07/24/2024 12:00:00 AM,06/24/2025 01:36:00 PM,46
06/13/2025 09:20:00 AM,7812,,Transfer Out,,Dog,Female,No,American Staffordshire Terrier,Blue,White,05/19/2019 12:00:00 AM,05/19/2025 07:54:00 AM,25
07/23/2025 04:33:00 PM,12632,,Transfer Out,,Cat,Female,No,Domestic Shorthair,Black,,07/09/2025 12:00:00 AM,07/23/2025 01:20:00 PM,0
06/09/2025 05:39:00 PM,9279,,Transfer Out,,Cat,Unknown,Unknown,Domestic Shorthair,Black,Black,05/26/2025 12:00:00 AM,06/09/2025 07:45:00 AM,0
10/19/2025 06:20:00 PM,16989,,Transfer Out,,Cat,Female,No,Domestic Shorthair,Orange Tabby,,10/19/2024 12:00:00 AM,10/19/2025 01:59:00 PM,0
12/01/2025 04:36:00 PM,16307,Mazzy Star,Adopted,,Cat,Female,Yes,Domestic Shorthair,Black,White,07/26/2025 12:00:00 AM,10/04/2025 09:56:00 AM,58
02/10/2026 03:03:00 PM,21120,Rocket,Reclaimed,,Cat,Male,Yes,Domestic Long Hair,Grey Tabby,White,02/04/2022 12:00:00 AM,02/04/2026 10:58:00 AM,6
08/18/2025 06:03:02 PM,8585,Squirrel,Adopted,,Cat,Female,Yes,Domestic Shorthair,Torbie,,04/20/2025 12:00:00 AM,05/30/2025 01:42:00 PM,80
11/07/2025 03:58:37 PM,17075,Beauty,Adopted,,Cat,Female,Yes,Domestic Shorthair,Blue,,10/24/2022 12:00:00 AM,10/21/2025 09:57:00 AM,17
06/05/2025 11:56:00 AM,8709,,Transfer Out,,Dog,Unknown,Unknown,Catahoula Leopard Dog,Black,White,,06/01/2025 12:59:00 PM,3
06/15/2025 01:00:00 PM,8949,,DOA,,Cat,Unknown,Unknown,Domestic Shorthair,Orange,,,06/04/2025 01:51:00 PM,10
08/25/2025 12:32:33 PM,10810,Bluey,Adopted,,Dog,Male,Yes,American Pit Bull Terrier,Blue,,01/01/2025 12:00:00 AM,07/08/2025 04:01:00 PM,47
08/01/2025 09:24:00 AM,12854,,Transfer Out,,Cat,Unknown,Unknown,Domestic Shorthair,Black,White,07/28/2024 12:00:00 AM,07/28/2025 12:12:00 PM,3
07/10/2025 02:09:00 PM,11796,Texas,Redemption (Offsite),,Dog,Female,Unknown,German Shepherd,Brown,Black,07/10/2023 12:00:00 AM,07/10/2025 01:31:00 PM,0
09/18/2025 01:41:00 PM,15580,Unknown,Transfer Out,,Kitten,Male,No,Domestic Shorthair,Black,White,09/17/2025 12:00:00 AM,09/18/2025 07:09:00 AM,0
09/15/2025 05:10:34 PM,14353,Serenity,Adopted,,Dog,Female,yes,German Shepherd,Black Brown,Brown,05/26/2025 12:00:00 AM,08/26/2025 02:38:00 PM,20
05/14/2025 02:02:00 PM,6572,*ASHLEY,Adopted,,Dog,Female,Yes,German Shepherd,Red Brown,Black,03/09/2025 12:00:00 AM,04/16/2025 12:00:00 AM,28
08/15/2025 01:37:00 PM,12961,,Reclaimed,,Cat,Male,No,Domestic Shorthair,Blue,White,07/30/2020 12:00:00 AM,08/02/2025 01:59:00 PM,12
06/14/2025 06:17:00 PM,8791,,Transfer Out,,Dog,Female,No,Labrador Retriever,Tri Color,,05/12/2025 12:00:00 AM,06/02/2025 01:48:00 PM,12
11/06/2025 08:39:00 AM,15421,Money,Reclaimed,,Dog,Male,No,Australian Shepherd,Blue Merle,,09/14/2021 12:00:00 AM,09/14/2025 10:35:00 PM,52
06/03/2025 04:59:00 PM,6924,Watermelon,Adopted,,Cat,Male,Yes,Domestic Shorthair,Brown Tabby,,03/31/2025 12:00:00 AM,05/05/2025 01:47:00 PM,29
07/10/2025 05:05:31 PM,11111,,Adopted,,Cat,Female,Yes,Domestic Shorthair,Tortoiseshell,,04/27/2025 12:00:00 AM,06/29/2025 12:35:00 PM,11
07/23/2025 04:06:00 PM,8922,Falcon,Adopted,,Cat,Male,Yes,Domestic Shorthair,Grey Tabby,,05/07/2025 12:00:00 AM,06/04/2025 11:10:00 AM,49
07/22/2025 02:56:00 PM,8406,,Adopted,,Cat,Female,Yes,Domestic Medium Hair,Black,White,04/10/2025 12:00:00 AM,05/28/2025 01:33:00 PM,55
11/15/2025 01:21:00 PM,13851,,Unassisted Death,Rabies Risk,Mammal,Unknown,Unknown,Bat - Unspecified,Brown,Brown,,08/15/2025 09:37:00 AM,92
08/05/2025 03:00:00 PM,12910,,Transfer Out,,Cat,Female,Unknown,Domestic Shorthair,Black,White,07/08/2025 12:00:00 AM,07/29/2025 02:40:00 PM,7
09/27/2025 04:29:00 PM,16010,,Transfer Out,,Kitten,Female,No,Domestic Shorthair,Grey,Black,09/13/2025 12:00:00 AM,09/27/2025 01:55:00 PM,0
11/15/2025 01:25:00 PM,17813,,Unassisted Death,,Mammal,Unknown,Unknown,Bat - Unspecified,Black,Brown,,11/05/2025 09:09:00 PM,9
08/20/2025 01:42:00 PM,14068,,Unassisted Death - In Transit,Rabies Risk,Mammal,Unknown,Unknown,Bat - Little Brown Myotis,Brown,,,08/20/2025 12:40:00 PM,0
11/04/2025 05:21:20 PM,17371,Aurora,Adopted,,Cat,Female,yes,Domestic Shorthair,Blue,,08/11/2025 12:00:00 AM,10/27/2025 11:53:00 AM,8
11/07/2025 02:00:00 PM,17790,,Transfer Out,,Puppy,Unknown,Unknown,Labrador Retriever,Black,White,10/22/2025 12:00:00 AM,11/07/2025 01:19:00 PM,0
08/24/2025 12:31:00 PM,10863,Sprinkles,Adopted,,Dog,Female,Yes,Siberian Husky,Black,White,06/19/2025 12:00:00 AM,06/26/2025 10:45:00 AM,59
08/11/2025 06:45:00 PM,11666,Cleveland,Adopted,,Cat,Male,Yes,Domestic Shorthair,Black,,06/03/2025 12:00:00 AM,07/08/2025 04:24:00 PM,34
07/31/2025 05:09:14 PM,12759,,Adopted Altered,,Dog,Male,yes,Terrier,White,Red,05/26/2025 12:00:00 AM,07/26/2025 08:57:00 AM,5
07/03/2025 04:41:10 PM,6748,Latte,Adopted,,Cat,Male,yes,Domestic Shorthair,Brown Tabby,,04/24/2025 12:00:00 AM,04/29/2025 12:00:00 AM,65
07/17/2025 02:42:00 PM,12001,Princess,Transfer Out,,Dog,Female,No,Shih Tzu,White,Black,07/14/2016 12:00:00 AM,07/14/2025 04:26:00 PM,2
01/28/2026 06:38:32 PM,20697,,Adopted,,Cat,Male,yes,Domestic Shorthair,Orange Tabby,,01/22/2025 12:00:00 AM,01/22/2026 02:10:00 PM,6
01/28/2026 06:01:20 PM,20408,Bonita,Adopted,,Cat,Female,yes,Domestic Shorthair,Black,,04/14/2025 12:00:00 AM,01/14/2026 03:11:00 PM,14
01/28/2026 06:40:00 PM,20829,Brody,Reclaimed,,Cat,Male,Yes,Siamese,LYNX PT,,06/27/2015 12:00:00 AM,01/27/2026 12:53:00 PM,1
01/28/2026 06:37:19 PM,20510,Cheddar,Adopted,,Rodent,Male,Unknown,Mouse,White,Tan,,01/17/2026 01:55:00 PM,11
01/28/2026 06:39:00 PM,20828,Toby,Reclaimed,,Cat,Male,Yes,Domestic Shorthair,BLUE TABBY,,06/27/2015 12:00:00 AM,01/27/2026 12:53:00 PM,1
01/28/2026 06:32:00 PM,20710,,Return to Habitat,,Cat,Male,Yes,Domestic Shorthair,Orange Tabby,White,01/25/2022 12:00:00 AM,01/22/2026 06:56:00 PM,5
08/02/2025 02:18:00 PM,10877,,Transfer Out,,Dog,Unknown,Unknown,American Pit Bull Terrier,Tan,,06/19/2025 12:00:00 AM,06/26/2025 11:03:00 AM,37
10/27/2025 06:34:41 PM,17050,Fawn,Adopted,,Cat,Female,yes,Domestic Shorthair,Silver Tabby,,08/11/2025 12:00:00 AM,10/20/2025 02:48:00 PM,7
02/10/2026 04:50:00 PM,21176,,Adopted Altered,,Cat,Female,yes,Domestic Shorthair,Blue,,02/10/2025 12:00:00 AM,02/05/2026 11:54:00 AM,5
02/10/2026 05:02:00 PM,20953,Betty Boop,Transfer Out,,Dog,Female,No,American Pit Bull Terrier,Black,White,03/31/2025 12:00:00 AM,01/30/2026 07:40:00 PM,10
02/10/2026 05:45:37 PM,21314,Mimi,Adopted Altered,,Dog,Female,yes,Chihuahua - Long-hair,Tri Color,,02/09/2025 12:00:00 AM,02/09/2026 11:17:00 AM,1
02/10/2026 05:31:00 PM,17344,Cuco,Adopted,,Dog,Male,Yes,American Pit Bull Terrier,Blue,,10/26/2023 12:00:00 AM,10/26/2025 04:38:00 PM,107
02/10/2026 05:18:00 PM,21332,Butters,Reclaimed,,Dog,Male,Yes,Shih Tzu,Brown,White,02/09/2021 12:00:00 AM,02/09/2026 04:08:00 PM,1
02/10/2026 05:57:49 PM,20314,Buddy,Adopted Altered,,Cat,Male,Yes,Domestic Shorthair,Grey Tabby,,01/17/2024 12:00:00 AM,01/12/2026 11:34:00 AM,29
01/29/2026 10:35:00 AM,20854,,Return to Habitat,,Cat,Female,Yes,Domestic Shorthair,Tortoiseshell,,01/28/2022 12:00:00 AM,01/28/2026 09:16:00 AM,1
01/29/2026 10:35:00 AM,20855,,Return to Habitat,,Cat,Male,Yes,Domestic Shorthair,Orange Tabby,White,01/28/2021 12:00:00 AM,01/28/2026 09:19:00 AM,1
01/29/2026 11:18:00 AM,17193,Hazel,Adopted,,Rabbit,Female,Yes,Angora,Tan,,07/26/2025 12:00:00 AM,10/22/2025 03:24:00 PM,98
01/29/2026 12:11:00 PM,20689,Panda,Return to Habitat,,Cat,Female,Yes,Domestic Shorthair,Black,White,07/28/2024 12:00:00 AM,01/22/2026 11:13:00 AM,7
01/29/2026 12:14:00 PM,20690,Mae,Return to Habitat,,Cat,Female,Yes,Domestic Shorthair,Brown Tabby,White,12/28/2019 12:00:00 AM,01/22/2026 11:13:00 AM,7
01/29/2026 12:17:00 PM,20722,,Return to Habitat,,Cat,Male,Yes,Domestic Shorthair,BLUE TABBY,White,01/28/2022 12:00:00 AM,01/23/2026 11:24:00 AM,6
01/29/2026 01:20:00 PM,20691,Gojo,Return to Habitat,,Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,01/28/2019 12:00:00 AM,01/22/2026 11:39:00 AM,7
01/29/2026 04:40:28 PM,20470,Alexander,Adopted,,Cat,Male,yes,Domestic Shorthair,Orange Tabby,,01/16/2025 12:00:00 AM,01/16/2026 12:42:00 PM,13
01/29/2026 04:49:26 PM,20653,,Adopted,,Kitten,Male,Yes,Domestic Shorthair,Brown Tabby,,09/21/2025 12:00:00 AM,01/21/2026 12:42:00 PM,8
01/26/2026 02:36:00 PM,20774,(ringtail),Euthanized,Rabies Risk,Mammal,Unknown,Unknown,Raccoon,Tan,White,,01/25/2026 02:34:00 PM,1
01/29/2026 04:53:27 PM,20703,Gummy Bear,Adopted Altered,,Cat,Male,Yes,Domestic Shorthair,Orange Tabby,,01/25/2023 12:00:00 AM,01/22/2026 03:33:00 PM,7
02/10/2026 05:02:00 PM,20180,Indie,Transfer Out,,Dog,Male,Yes,Border Collie,Black,White,01/08/2023 12:00:00 AM,01/08/2026 10:34:00 AM,33
01/29/2026 04:17:00 PM,20702,Luna,Transfer Out,,Puppy,Female,No,American Pit Bull Terrier,Blue,White,10/22/2025 12:00:00 AM,01/22/2026 03:20:00 PM,7
01/29/2026 04:33:26 PM,14322,Rabbit,Adopted Altered,,Cat,Male,Yes,Domestic Long Hair,Brown Tabby,,04/26/2025 12:00:00 AM,08/26/2025 12:52:00 PM,156
01/29/2026 05:28:55 PM,18468,Muffin,Adopted,,Dog,Female,yes,Catahoula Leopard Dog,Merle,Black,02/23/2025 12:00:00 AM,11/23/2025 04:17:00 PM,67
01/29/2026 05:32:40 PM,20142,Grover,Adopted,,Cat,Male,yes,Domestic Long Hair,White,Black,06/07/2025 12:00:00 AM,01/07/2026 12:20:00 PM,22
01/29/2026 05:19:00 PM,17504,Pip,Euthanized,Aggression,Dog,Male,Yes,Spanish Mastiff,Tri Color,,01/01/2024 12:00:00 AM,01/16/2026 11:14:00 AM,13
01/29/2026 05:48:00 PM,20898,Oliver,Reclaimed,,Dog,Male,Yes,American Pit Bull Terrier,Blue Brindle,White,12/01/2023 12:00:00 AM,01/29/2026 11:39:00 AM,0
01/29/2026 05:01:14 PM,20654,,Adopted,,Kitten,Male,yes,Domestic Medium Hair,Black,Black,09/21/2025 12:00:00 AM,01/21/2026 12:46:00 PM,8
01/29/2026 05:49:11 PM,20469,Mozzy,Adopted,,Cat,Female,yes,Domestic Shorthair,Black,,01/17/2024 12:00:00 AM,01/16/2026 12:16:00 PM,13
01/29/2026 05:55:00 PM,19688,Bruno,Adopted,,Dog,Male,Yes,American Pit Bull Terrier,Brindle,White,01/25/2025 12:00:00 AM,12/25/2025 08:34:00 PM,34
01/29/2026 05:55:00 PM,20538,Ivanka,Adopted,,Puppy,Female,Yes,Labrador Retriever,Blonde,,11/09/2025 12:00:00 AM,01/18/2026 12:35:00 PM,11
01/29/2026 06:27:00 PM,20841,Ellie,Reclaimed,,Cat,Female,Yes,Domestic Shorthair,Brown Tabby,White,01/28/2024 12:00:00 AM,01/27/2026 04:11:00 PM,2
01/29/2026 06:30:13 PM,20662,Kitten 2,Adopted,,Kitten,Female,Yes,Domestic Shorthair,Brown Tabby,,11/05/2025 12:00:00 AM,01/21/2026 02:20:00 PM,8
01/29/2026 06:09:00 PM,20745,Spirit,Return to Habitat,,Cat,Female,Yes,Domestic Shorthair,Brown Tabby,,07/28/2022 12:00:00 AM,01/23/2026 05:17:00 PM,6
01/29/2026 06:07:55 PM,20474,Bunny,Adopted Altered,,Cat,Male,Yes,Domestic Medium Hair,Orange Tabby,,07/29/2025 12:00:00 AM,01/16/2026 01:06:00 PM,13
01/29/2026 06:43:35 PM,20608,Daisy,Adopted,,Cat,Female,Yes,Domestic Shorthair,Muted Tortoiseshell,,01/20/2024 12:00:00 AM,01/20/2026 01:17:00 PM,9
01/29/2026 06:30:11 PM,20671,Willow,Adopted Altered,,Puppy,Female,Yes,Boxer,Brown,White,11/12/2025 12:00:00 AM,01/21/2026 04:22:00 PM,8
01/29/2026 07:07:24 PM,20603,Sunny,Adopted,,Kitten,Male,Yes,Domestic Shorthair,Black,,11/20/2025 12:00:00 AM,01/20/2026 12:50:00 PM,9
01/27/2026 11:59:00 AM,20750,,Reclaimed,,Cat,Unknown,Unknown,Domestic Shorthair,Blue,,01/24/2013 12:00:00 AM,01/23/2026 06:40:00 PM,3
01/29/2026 07:16:38 PM,19465,Steele,Adopted,,Kitten,Male,Yes,Domestic Medium Hair,Blue,,11/18/2025 12:00:00 AM,12/16/2025 12:46:00 PM,44
12/05/2025 09:10:41 PM,17022,Dazzle,Adopted Offsite,,Cat,Female,Yes,Domestic Shorthair,Black,White,09/01/2025 12:00:00 AM,10/20/2025 11:14:00 AM,46
12/11/2025 08:38:09 PM,17021,Sprinkles,Adopted Offsite,,Cat,Female,Yes,Domestic Shorthair,Tortoiseshell,,09/01/2025 12:00:00 AM,10/20/2025 11:14:00 AM,52
02/10/2026 05:02:00 PM,20423,Moomin,Transfer Out,,Dog,Male,No,American Pit Bull Terrier,Blue,White,02/03/2025 12:00:00 AM,01/15/2026 09:51:00 AM,26
02/10/2026 05:02:00 PM,16619,Penny,Transfer Out,,Dog,Female,Yes,German Shepherd,Tan,Black,02/14/2025 12:00:00 AM,10/14/2025 03:14:00 PM,119
02/10/2026 05:02:00 PM,9012,Banksy,Transfer Out,,Dog,Female,Yes,Labrador Retriever,Black,White,06/05/2024 12:00:00 AM,10/06/2025 01:09:00 PM,127
05/19/2025 12:00:00 AM,7070,,Adopted,,Cat,Male,yes,Domestic Shorthair,Brown Tabby,White,11/07/2024 12:00:00 AM,05/07/2025 01:29:00 PM,11
10/21/2025 07:33:00 PM,17099,Rora,Reclaimed,,Dog,Female,No,Labrador Retriever,Brown,,10/21/2024 12:00:00 AM,10/21/2025 12:20:00 PM,0
05/19/2025 12:00:00 AM,7495,,Adopted,,Cat,Male,yes,Domestic Shorthair,Silver Tabby,Silver Tabby,03/19/2025 12:00:00 AM,05/14/2025 01:08:00 PM,4
07/05/2025 08:39:00 AM,6245,Hannah,Adopted,,Cat,Female,Yes,Domestic Medium Hair,Black,,02/22/2024 12:00:00 AM,02/22/2025 12:00:00 AM,133
08/08/2025 06:03:00 PM,11426,,Adopted,,Cat,Male,Yes,Domestic Shorthair,Black,White,04/17/2025 12:00:00 AM,07/03/2025 12:25:00 PM,36
06/05/2025 11:31:00 AM,8415,,Adopted Unaltered,,Cat,Female,Yes,Domestic Shorthair,Black,,04/10/2025 12:00:00 AM,05/28/2025 02:40:00 PM,7
06/04/2025 03:43:00 PM,6040,PIRATE,Redemption (Offsite),,Dog,Male,No,Poodle - Standard,Brown,Brown,05/24/2023 12:00:00 AM,05/24/2024 12:00:00 AM,376
07/19/2025 11:59:23 AM,7863,Patrick,Adopted,,Cat,Male,Yes,Domestic Shorthair,Orange Tabby,White,05/12/2025 12:00:00 AM,05/19/2025 01:12:00 PM,60
